CTY_CODE,CTY_NAME,I_ENDUSE,I_ENDUSE_LDESC,GEN_VAL_MO,CON_VAL_MO,AIR_WGT_MO,CNT_WGT_MO,VES_WGT_MO,I_ENDUSE,time
5330,INDIA,00010,COCOA BEANS,85680,85680,0,12374,12374,00010,2020-03
6040,PAPUA NEW GUINEA,00010,COCOA BEANS,909300,909300,0,350520,350520,00010,2020-03
2489,GRENADA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-03
3010,COLOMBIA,00010,COCOA BEANS,0,0,0,0,0,00010,2020-03
3070,VENEZUELA,00010,COCOA BEANS,178092,178092,0,76311,76311,00010,2020-03
3310,ECUADOR,00010,COCOA BEANS,15701274,15701274,229,5565907,5691842,00010,2020-03
3330,PERU,00010,COCOA BEANS,2136859,2136859,0,658272,658272,00010,2020-03
3350,BOLIVIA,00010,COCOA BEANS,14443,14443,0,6524,6524,00010,2020-03
3510,BRAZIL,00010,COCOA BEANS,0,0,0,0,0,00010,2020-03
4279,FRANCE,00010,COCOA BEANS,39884,39884,0,4489,4489,00010,2020-03
6863,FIJI,00010,COCOA BEANS,0,0,0,0,0,00010,2020-03
7420,CAMEROON,00010,COCOA BEANS,0,0,0,0,0,00010,2020-03
7480,COTE D'IVOIRE,00010,COCOA BEANS,71797797,71797797,0,14592362,32716779,00010,2020-03
7490,GHANA,00010,COCOA BEANS,53592638,53592638,0,22605513,22605513,00010,2020-03
7660,DEMOCRATIC REPUBLIC OF THE CONGO,00010,COCOA BEANS,3625105,3625105,0,1270395,1270395,00010,2020-03
4419,SWITZERLAND,00010,COCOA BEANS,11519,11519,0,922,922,00010,2020-03
-,TOTAL FOR ALL COUNTRIES,00010,COCOA BEANS,154513526,154513526,621,47483660,65834012,00010,2020-03
0003,EUROPEAN UNION,00010,COCOA BEANS,39884,39884,0,4489,4489,00010,2020-03
1XXX,NORTH AMERICA,00010,COCOA BEANS,5940,5940,0,0,0,00010,2020-03
4XXX,EUROPE,00010,COCOA BEANS,51403,51403,0,5411,5411,00010,2020-03
